author,title,location,relative_location,remote_url
Frank L. Packard,Corporal Bob,/Users/user/gut-au/ebooks19/1901091h.html,ebooks19/1901091h.html,http://gutenberg.net.au/ebooks19/1901091h.html
Frank L. Packard,Never Again,/Users/user/gut-au/ebooks19/1901101h.html,ebooks19/1901101h.html,http://gutenberg.net.au/ebooks19/1901101h.html
Frank L. Packard,The Red Ledger,/Users/user/gut-au/ebooks19/1901111h.html,ebooks19/1901111h.html,http://gutenberg.net.au/ebooks19/1901111h.html
Ernest Haycox,Trail Smoke,/Users/user/gut-au/ebooks19/1901121h.html,ebooks19/1901121h.html,http://gutenberg.net.au/ebooks19/1901121h.html
Rufus Gillmore,The Opal Pin,/Users/user/gut-au/ebooks19/1901131h.html,ebooks19/1901131h.html,http://gutenberg.net.au/ebooks19/1901131h.html
Frank L. Packard,Jimmie Dale And The Blue Envelope Murder,/Users/user/gut-au/ebooks19/1901141h.html,ebooks19/1901141h.html,http://gutenberg.net.au/ebooks19/1901141h.html
Frank L. Packard,The Further Adventures Of Jimmie Dale,/Users/user/gut-au/ebooks19/1901151h.html,ebooks19/1901151h.html,http://gutenberg.net.au/ebooks19/1901151h.html
Fred M. White,The Robe of Lucifer,/Users/user/gut-au/ebooks19/1901161h.html,ebooks19/1901161h.html,http://gutenberg.net.au/ebooks19/1901161h.html
"Andrew Forrester, Jun.",The Female Detective,/Users/user/gut-au/ebooks19/1901171h.html,ebooks19/1901171h.html,http://gutenberg.net.au/ebooks19/1901171h.html
"Andrew Forrester, Jun.",Tales by a Female Detective,/Users/user/gut-au/ebooks19/1901181h.html,ebooks19/1901181h.html,http://gutenberg.net.au/ebooks19/1901181h.html
Frank L. Packard,The Adventures Of Jimmie Dale,/Users/user/gut-au/ebooks19/1901191h.html,ebooks19/1901191h.html,http://gutenberg.net.au/ebooks19/1901191h.html
"Andrew Forrester, Jun.",Secret Service Or Recollections Of A City Detective,/Users/user/gut-au/ebooks19/1901201h.html,ebooks19/1901201h.html,http://gutenberg.net.au/ebooks19/1901201h.html
Frank L. Packard,Jimmie Dale and the Phantom Clue,/Users/user/gut-au/ebooks19/1901211h.html,ebooks19/1901211h.html,http://gutenberg.net.au/ebooks19/1901211h.html
"Andrew Forrester, Jun.",Revelations of a Detective,/Users/user/gut-au/ebooks19/1901221h.html,ebooks19/1901221h.html,http://gutenberg.net.au/ebooks19/1901221h.html
Ernest Haycox,Free Grass,/Users/user/gut-au/ebooks19/1901231h.html,ebooks19/1901231h.html,http://gutenberg.net.au/ebooks19/1901231h.html
Frank Lucius Packard,Jimmie Dale And The Missing Hour,/Users/user/gut-au/ebooks19/1901241h.html,ebooks19/1901241h.html,http://gutenberg.net.au/ebooks19/1901241h.html
William Bradley (edited by Colin Choat),William Bradley's Voyage to New South Wales,/Users/user/gut-au/ebooks19/1901251h.html,ebooks19/1901251h.html,http://gutenberg.net.au/ebooks19/1901251h.html
,,/Users/user/gut-au/ebooks19/1901261h.html,ebooks19/1901261h.html,http://gutenberg.net.au/ebooks19/1901261h.html
"Andrew Forrester, Jun.",The Private Detective,/Users/user/gut-au/ebooks19/1901271h.html,ebooks19/1901271h.html,http://gutenberg.net.au/ebooks19/1901271h.html
Wolcott Balestier--,The Return of Kai Lung]--at,/Users/user/gut-au/ebooks19/plusfifty-a-m.html,ebooks19/plusfifty-a-m.html,http://gutenberg.net.au/ebooks19/plusfifty-a-m.html
Frank L. Packard,The Four Stragglers,/Users/user/gut-au/ebooks20/2000011h.html,ebooks20/2000011h.html,http://gutenberg.net.au/ebooks20/2000011h.html
Frank L. Packard,Greater Love Hath No Man,/Users/user/gut-au/ebooks20/2000021h.html,ebooks20/2000021h.html,http://gutenberg.net.au/ebooks20/2000021h.html
Robert E Howard,The Lost Valley of Iskander (Swords of the Hills),/Users/user/gut-au/ebooks20/2000031h.html,ebooks20/2000031h.html,http://gutenberg.net.au/ebooks20/2000031h.html
Frank L. Packard,The Miracle Man,/Users/user/gut-au/ebooks20/2000041h.html,ebooks20/2000041h.html,http://gutenberg.net.au/ebooks20/2000041h.html
Arthur Bowes Smyth (edited by Colin Choat),A Journal of a Voyage from Portsmouth to New South Wales and China,/Users/user/gut-au/ebooks20/2000051h.html,ebooks20/2000051h.html,http://gutenberg.net.au/ebooks20/2000051h.html
Frank L. Packard,The Belovd Traitor,/Users/user/gut-au/ebooks20/2000061h.html,ebooks20/2000061h.html,http://gutenberg.net.au/ebooks20/2000061h.html
Frank L. Packard,The Wire Devils,/Users/user/gut-au/ebooks20/2000071h.html,ebooks20/2000071h.html,http://gutenberg.net.au/ebooks20/2000071h.html
Frank L. Packard,From Now On,/Users/user/gut-au/ebooks20/2000081h.html,ebooks20/2000081h.html,http://gutenberg.net.au/ebooks20/2000081h.html
Frank L. Packard,The White Moll,/Users/user/gut-au/ebooks20/2000091h.html,ebooks20/2000091h.html,http://gutenberg.net.au/ebooks20/2000091h.html
Baroness Orczy,Old Hungarian Fairy Tales,/Users/user/gut-au/ebooks20/2000101h.html,ebooks20/2000101h.html,http://gutenberg.net.au/ebooks20/2000101h.html
Frank L. Packard,Doors of the Night,/Users/user/gut-au/ebooks20/2000111h.html,ebooks20/2000111h.html,http://gutenberg.net.au/ebooks20/2000111h.html
Ernest Haycox,The Wild Bunch,/Users/user/gut-au/ebooks20/2000121h.html,ebooks20/2000121h.html,http://gutenberg.net.au/ebooks20/2000121h.html
Baroness Orczy,The Emperor's Candlesticks,/Users/user/gut-au/ebooks20/2000131h.html,ebooks20/2000131h.html,http://gutenberg.net.au/ebooks20/2000131h.html
Baroness Orczy,The Case Of Miss Elliott,/Users/user/gut-au/ebooks20/2000141h.html,ebooks20/2000141h.html,http://gutenberg.net.au/ebooks20/2000141h.html
Millie Finkelstein,The Newest Woman,/Users/user/gut-au/ebooks20/2000151h.html,ebooks20/2000151h.html,http://gutenberg.net.au/ebooks20/2000151h.html
Baroness Orczy,The Gates Of Kamt,/Users/user/gut-au/ebooks20/2000161h.html,ebooks20/2000161h.html,http://gutenberg.net.au/ebooks20/2000161h.html
Coutts Brisbane,The Secret of the Desert,/Users/user/gut-au/ebooks20/2000171h.html,ebooks20/2000171h.html,http://gutenberg.net.au/ebooks20/2000171h.html
,,/Users/user/gut-au/ebooks20/2000181h.html,ebooks20/2000181h.html,http://gutenberg.net.au/ebooks20/2000181h.html
Baroness Orczy,In Mary's Reign,/Users/user/gut-au/ebooks20/2000191h.html,ebooks20/2000191h.html,http://gutenberg.net.au/ebooks20/2000191h.html
Baroness Orczy,The Red Carnation,/Users/user/gut-au/ebooks20/2000201h.html,ebooks20/2000201h.html,http://gutenberg.net.au/ebooks20/2000201h.html
Baroness Orczy,The Hungarian Gentleman Farmer,/Users/user/gut-au/ebooks20/2000211h.html,ebooks20/2000211h.html,http://gutenberg.net.au/ebooks20/2000211h.html
Baroness Orczy,The Hungarian Peasant Farmer,/Users/user/gut-au/ebooks20/2000221h.html,ebooks20/2000221h.html,http://gutenberg.net.au/ebooks20/2000221h.html
Baroness Orczy,The Traitor,/Users/user/gut-au/ebooks20/2000231h.html,ebooks20/2000231h.html,http://gutenberg.net.au/ebooks20/2000231h.html
Baroness Orczy,Number 187,/Users/user/gut-au/ebooks20/2000241h.html,ebooks20/2000241h.html,http://gutenberg.net.au/ebooks20/2000241h.html
Baroness Orczy,The Trappist's Vow,/Users/user/gut-au/ebooks20/2000251h.html,ebooks20/2000251h.html,http://gutenberg.net.au/ebooks20/2000251h.html
Baroness Orczy,Juliette,/Users/user/gut-au/ebooks20/2000261h.html,ebooks20/2000261h.html,http://gutenberg.net.au/ebooks20/2000261h.html
Baroness Orczy,Young Muggins,/Users/user/gut-au/ebooks20/2000271h.html,ebooks20/2000271h.html,http://gutenberg.net.au/ebooks20/2000271h.html
Baroness Orczy,The Revenge of Ur-Tasen,/Users/user/gut-au/ebooks20/2000281h.html,ebooks20/2000281h.html,http://gutenberg.net.au/ebooks20/2000281h.html
Coutts Brisbane,The Memory Man,/Users/user/gut-au/ebooks20/2000291h.html,ebooks20/2000291h.html,http://gutenberg.net.au/ebooks20/2000291h.html
Baroness Orczy,Petticoat Government,/Users/user/gut-au/ebooks20/2000301h.html,ebooks20/2000301h.html,http://gutenberg.net.au/ebooks20/2000301h.html
Coutts Brisbane,Wheels of Fortune,/Users/user/gut-au/ebooks20/2000311h.html,ebooks20/2000311h.html,http://gutenberg.net.au/ebooks20/2000311h.html
Baroness Orczy,A True Woman,/Users/user/gut-au/ebooks20/2000321h.html,ebooks20/2000321h.html,http://gutenberg.net.au/ebooks20/2000321h.html
Baroness Orczy,Nicolette,/Users/user/gut-au/ebooks20/2000331h.html,ebooks20/2000331h.html,http://gutenberg.net.au/ebooks20/2000331h.html
Baroness Orczy,Links in the Chain of Life,/Users/user/gut-au/ebooks20/2000341h.html,ebooks20/2000341h.html,http://gutenberg.net.au/ebooks20/2000341h.html
Baroness Orczy,Fire in Stubble,/Users/user/gut-au/ebooks20/2000351h.html,ebooks20/2000351h.html,http://gutenberg.net.au/ebooks20/2000351h.html
Baroness Orczy,Beau Brocade,/Users/user/gut-au/ebooks20/2000361h.html,ebooks20/2000361h.html,http://gutenberg.net.au/ebooks20/2000361h.html
David A. Andrade,The Melbourne Riots,/Users/user/gut-au/ebooks20/2000371h.html,ebooks20/2000371h.html,http://gutenberg.net.au/ebooks20/2000371h.html
Ford Madox Ford,The Rash Act,/Users/user/gut-au/ebooks20/2000381h.html,ebooks20/2000381h.html,http://gutenberg.net.au/ebooks20/2000381h.html
Ford Madox Ford (Ford Madox Hueffer),Joseph Conrad: A Personal Remembrance,/Users/user/gut-au/ebooks20/2000391h.html,ebooks20/2000391h.html,http://gutenberg.net.au/ebooks20/2000391h.html
Ford Madox Ford (Ford Madox Heuffer),The Soul of London,/Users/user/gut-au/ebooks20/2000401h.html,ebooks20/2000401h.html,http://gutenberg.net.au/ebooks20/2000401h.html
