title,author,full_author,full_title,url_html,url_text,url_zip,url_pdf,url_other
Ken Ward in the Jungle,Zane Grey,,,http://gutenberg.net.au/ebooks09/0901061h.html,http://gutenberg.net.au/ebooks09/0901061.txt,,,
God and the King,Marjorie Bowen,,,http://gutenberg.net.au/ebooks09/0901051h.html,http://gutenberg.net.au/ebooks09/0901051.txt,,,
I Will Maintain,Marjorie Bowen,,,http://gutenberg.net.au/ebooks09/0901041h.html,http://gutenberg.net.au/ebooks09/0901041.txt,,,
Bulldog Drummond at Bay,Sapper,,,http://gutenberg.net.au/ebooks09/0901031h.html,,,,
Prince and Heretic,Marjorie Bowen,,,http://gutenberg.net.au/ebooks09/0901021h.html,http://gutenberg.net.au/ebooks09/0901021.txt,,,
A Vocabulary of the Sgau Karen Language,J Wade,,,,,,http://gutenberg.net.au/ebooks09/0900051p.pdf,
A Dictionary of the Sgau Karen Language,J Wade,,,,,,http://gutenberg.net.au/ebooks09/0901011p.pdf,
Beau Ideal,P C Wren,,,http://gutenberg.net.au/ebooks09/0901001h.html,http://gutenberg.net.au/ebooks09/0901001.txt,,,
The Story of Dr. Wassell,James Hilton,,,http://gutenberg.net.au/ebooks09/0900991h.html,http://gutenberg.net.au/ebooks09/0900991.txt,,,
The Wyvern Mystery Vol 2,Joseph Sheridan Le Fanu,,,,http://gutenberg.net.au/ebooks09/0900981.txt,,,
The Wyvern Mystery Vol 1,Joseph Sheridan Le Fanu,,,,http://gutenberg.net.au/ebooks09/0900971.txt,,,
The Desert Girl,Robert Ames Bennet,,,,http://gutenberg.net.au/ebooks09/0900961.txt,,,
Canon Alberic's Scrap-book,M R James,,,,http://gutenberg.net.au/ebooks09/0900951.txt,,,
The Five Jars,M R James,,,,http://gutenberg.net.au/ebooks09/0900941.txt,,,
Lost Hearts,M R James,,,,http://gutenberg.net.au/ebooks09/0900931.txt,,,
The Yoke of Life,Frederick Philip Grove,,,,http://gutenberg.net.au/ebooks09/0900921.txt,,,
Lark Rise to Candleford,Flora Jane Thompson,,,,http://gutenberg.net.au/ebooks09/0900911.txt,,,
Still Glides the Stream,Flora Jane Thompson,,,,http://gutenberg.net.au/ebooks09/0900901.txt,,,
The Loring Mystery,Jeffery Farnol,,,,http://gutenberg.net.au/ebooks09/0900891.txt,,,
The Quest of Youth,Jeffery Farnol,,,,http://gutenberg.net.au/ebooks09/0900881.txt,,,
Adam Penfeather,Jeffery Farnol,,,,http://gutenberg.net.au/ebooks09/0900871.txt,,,
The Corpse in the Crimson Slippers,R A J Walling,,,http://gutenberg.net.au/ebooks09/0900861h.html,http://gutenberg.net.au/ebooks09/0900861.txt,,,
A Thousand Miles an Hour,Herbert Strang,,,http://gutenberg.net.au/ebooks09/0900851h.html,http://gutenberg.net.au/ebooks09/0900851.txt,,,
Sandi the King-maker,Edgar Wallace,,,http://gutenberg.net.au/ebooks09/0900841h.html,http://gutenberg.net.au/ebooks09/0900841.txt,,,
The Calendar,Edgar Wallace,,,http://gutenberg.net.au/ebooks09/0900831h.html,http://gutenberg.net.au/ebooks09/0900831.txt,,,
